sample,total,trinity,soap,velvet,spades,abyss
SRR10407358,746022,16673,94325,515011,85349,34664
SRR3018852,1034726,27190,148546,696530,103461,58999
SRR3018855,910589,22972,125221,620643,86775,54978
SRR3018862,983585,25577,138460,662805,101127,55616
SRR3019045,1006935,24940,140280,687168,94172,60375
SRR3019179,943240,22735,132791,644799,85275,57640
SRR3019184,878591,22132,129660,586128,86572,54099
SRR6743334,288571,11532,63233,165263,37136,11407
SRR6743335,272627,11115,60017,155454,34199,11842
SRR6743336,249998,10375,57205,143843,31498,7077
SRR6743337,242966,10107,52652,139596,29865,10746
SRR6743338,271191,11318,61437,154088,33941,10407
SRR6743339,212444,9652,43872,119417,28499,11004
SRR6743340,209871,9103,42890,121007,26189,10682
SRR6743341,265784,10857,56502,154803,32622,11000
SRR6743342,269478,12821,61960,144757,37633,12307
SRR7716077,1383504,36261,197760,941302,143985,64196
SRR7716078,1259688,31859,179199,861244,128078,59308
SRR7716079,1063452,29337,160463,703168,120098,50386
SRR7716080,1217997,32069,174066,827167,129615,55080
SRR8559044,1419230,37601,182378,982231,125244,91776
SRR8559045,1512294,40948,195796,1047136,132821,95593
SRR8559046,1563675,41451,192314,1096405,133903,99602
SRR8559047,1538858,41267,192827,1074419,131795,98550
SRR8559048,1663647,45084,206206,1160439,150697,101221
SRR8559049,1525701,40592,195152,1060240,135786,93931ï»¿
