Category,Sample,Program,Score,Reads,Length,ID
Complete,ERR3026433_Pinnigorgia_flava,Transpi,96.3,"30,545,400",50,A
Complete,ERR3026434_Sinularia_cruciata,Transpi,91.6,"22,160,908",50,A
Complete,ERR3026435_Tubipora_musica,Transpi,95.3,"23,006,724",50,A
Complete,ERR3040053_Heliopora_coerulea,Transpi,94.6,"29,000,821",50,A
Complete,SRR8280777_Godzilliognomus_frondosus,Transpi,87.5,"14,086,834",75,B
Complete,SRR8745910_Galeodes_sp,Transpi,84.3,"6,356,774",75,B
Complete,SRR8745911_Peripatoides_novaezealandiae_onychophora,Transpi,84.9,"5,768,550",75,B
Complete,ERR1000783_Paracentrotus_lividus,Transpi,81.7,"6,803,316",75,B
Complete,SRR10744002_Paracentrotus_lividus,Transpi,94.3,"13,583,857",75,B
Complete,SRR1232685_Nephtys_caeca,Transpi,29.6,"1,576,665",75,B
Complete,SRR1271607_Gnathostomula_paradoxa,Transpi,56,"5,954,962",75,B
Complete,SRR1271706_Macrodasys_sp,Transpi,74.7,"3,204,609",75,B
Complete,SRR1273732_Lepidodermella_squamata,Transpi,54.4,"4,370,938",75,B
Complete,SRR1273789_Cephalothrix_linearis,Transpi,82.6,"4,869,244",75,B
Complete,SRR5569439_Acropora_palmata,Transpi,69.6,"10,476,071",75,B
Complete,SRR8601367_Acropora_pulchra,Transpi,92.4,"14,037,157",75,B
Complete,SRR1041944_Ephydatia_muelleri,Transpi,92,"11,425,188",100,C
Complete,SRR1042012_Oscarella_pearsei,Transpi,92.6,"11,306,242",100,C
Complete,SRR1168575_Spongilla_lacustris,Transpi,85,"5,136,881",100,C
Complete,SRR1711043_Mycale_phylophylla_adult,Transpi,77.9,"11,408,543",100,C
Complete,SRR1793376_Haliclona_tubifera,Transpi,93.5,"16,356,602",100,C
Complete,SRR504690_Sycon_coactum,Transpi,83.8,"9,098,097",100,C
Complete,SRR1145776_Peripatopsis_capensis,Transpi,62.4,"11,638,180",100,C
Complete,SRR1505119_Monodonta_labio,Transpi,85.7,"10,388,770",100,C
Complete,SRR1560310_Lyonsia_floridana,Transpi,79.6,"9,919,645",100,C
Complete,SRR1560359_Mercenaria_campechiensis,Transpi,22.9,"11,935,267",100,C
Complete,SRR1560432_Neotrigonia_margaritacea,Transpi,62.1,"11,215,767",100,C
Complete,SRR1560458_Cardites_antiquatus,Transpi,49,"11,916,756",100,C
Complete,SRR1561723_Sphaerium_nucleus,Transpi,36,"18,539,173",100,C
Complete,SRR1611556_Hemithiris_psittacea,Transpi,92.8,"9,221,875",100,C
Complete,SRR1611560_Malacobdella_grossa,Transpi,94,"8,307,739",100,C
Complete,SRR1611565_Phoronis_psammophila,Transpi,94.1,"12,949,999",100,C
Complete,SRR1796434_Catenula_lemnae,Transpi,53.5,"3,028,636",100,C
Complete,SRR3097584_Florometra,Transpi,97.8,"32,710,859",100,C
Complete,SRR3105702_Childia_submaculatum,Transpi,81.8,"6,089,955",100,C
Complete,SRR331123_Ennucula_tenuis,Transpi,95.2,"14,420,942",100,C
Complete,SRR7655554_Ircinia_fasciculata,Transpi,74.9,"13,420,109",100,C
Complete,SRR7754744_Krohnitta_subtilis,Transpi,90,"15,954,007",100,C
Complete,SRR10527303_Octolasmis_warwickii,Transpi,93.4,"15,813,391",150,D
Complete,SRR3350463_Dimya_lima,Transpi,52.1,"5,426,850",150,D
Complete,SRR3404576_Brachionus_plicatilis,Transpi,94.3,"7,403,847",150,D
Complete,SRR4113507_Calanus_finmarchicus,Transpi,77.2,"10,633,606",150,D
Complete,SRR4294206_Millepora_alcicornis,Transpi,96.9,"24,645,545",150,D
Complete,SRR504694_Corticium_candelabrum,Transpi,91.5,"18,897,095",150,D
Complete,SRR5140141_Eoleptestheria_cf_ticinensis,Transpi,83.1,"5,471,351",150,D
Complete,SRR5626553_Nautilus_pompilius,Transpi,63.7,"16,461,197",150,D
Complete,SRR5873556_Neocalanus_Flemingeri,Transpi,89.1,"4,112,626",150,D
Complete,SRR8393254_Apostichopus_japonicus,Transpi,92,"8,289,770",150,D
Complete,SRR8491966_Porites_pukoensis,Transpi,99.4,"16,448,725",150,D
Single-Copy,ERR3026433_Pinnigorgia_flava,Transpi,84.7,"30,545,400",50,A
Single-Copy,ERR3026434_Sinularia_cruciata,Transpi,81.9,"22,160,908",50,A
Single-Copy,ERR3026435_Tubipora_musica,Transpi,85.6,"23,006,724",50,A
Single-Copy,ERR3040053_Heliopora_coerulea,Transpi,86,"29,000,821",50,A
Single-Copy,SRR8280777_Godzilliognomus_frondosus,Transpi,77.7,"14,086,834",75,B
Single-Copy,SRR8745910_Galeodes_sp,Transpi,76.9,"6,356,774",75,B
Single-Copy,SRR8745911_Peripatoides_novaezealandiae_onychophora,Transpi,80.3,"5,768,550",75,B
Single-Copy,ERR1000783_Paracentrotus_lividus,Transpi,74.1,"6,803,316",75,B
Single-Copy,SRR10744002_Paracentrotus_lividus,Transpi,81.6,"13,583,857",75,B
Single-Copy,SRR1232685_Nephtys_caeca,Transpi,29,"1,576,665",75,B
Single-Copy,SRR1271607_Gnathostomula_paradoxa,Transpi,35.8,"5,954,962",75,B
Single-Copy,SRR1271706_Macrodasys_sp,Transpi,64.4,"3,204,609",75,B
Single-Copy,SRR1273732_Lepidodermella_squamata,Transpi,47.4,"4,370,938",75,B
Single-Copy,SRR1273789_Cephalothrix_linearis,Transpi,80.2,"4,869,244",75,B
Single-Copy,SRR5569439_Acropora_palmata,Transpi,60.6,"10,476,071",75,B
Single-Copy,SRR8601367_Acropora_pulchra,Transpi,80,"14,037,157",75,B
Single-Copy,SRR1041944_Ephydatia_muelleri,Transpi,70.1,"11,425,188",100,C
Single-Copy,SRR1042012_Oscarella_pearsei,Transpi,72.9,"11,306,242",100,C
Single-Copy,SRR1168575_Spongilla_lacustris,Transpi,64.1,"5,136,881",100,C
Single-Copy,SRR1711043_Mycale_phylophylla_adult,Transpi,72.9,"11,408,543",100,C
Single-Copy,SRR1793376_Haliclona_tubifera,Transpi,69.8,"16,356,602",100,C
Single-Copy,SRR504690_Sycon_coactum,Transpi,65.8,"9,098,097",100,C
Single-Copy,SRR1145776_Peripatopsis_capensis,Transpi,59.6,"11,638,180",100,C
Single-Copy,SRR1505119_Monodonta_labio,Transpi,80.2,"10,388,770",100,C
Single-Copy,SRR1560310_Lyonsia_floridana,Transpi,73.1,"9,919,645",100,C
Single-Copy,SRR1560359_Mercenaria_campechiensis,Transpi,19.3,"11,935,267",100,C
Single-Copy,SRR1560432_Neotrigonia_margaritacea,Transpi,59.4,"11,215,767",100,C
Single-Copy,SRR1560458_Cardites_antiquatus,Transpi,46.6,"11,916,756",100,C
Single-Copy,SRR1561723_Sphaerium_nucleus,Transpi,27.1,"18,539,173",100,C
Single-Copy,SRR1611556_Hemithiris_psittacea,Transpi,82.5,"9,221,875",100,C
Single-Copy,SRR1611560_Malacobdella_grossa,Transpi,83,"8,307,739",100,C
Single-Copy,SRR1611565_Phoronis_psammophila,Transpi,77.8,"12,949,999",100,C
Single-Copy,SRR1796434_Catenula_lemnae,Transpi,48.9,"3,028,636",100,C
Single-Copy,SRR3097584_Florometra,Transpi,87.3,"32,710,859",100,C
Single-Copy,SRR3105702_Childia_submaculatum,Transpi,77.9,"6,089,955",100,C
Single-Copy,SRR331123_Ennucula_tenuis,Transpi,85.3,"14,420,942",100,C
Single-Copy,SRR7655554_Ircinia_fasciculata,Transpi,60.3,"13,420,109",100,C
Single-Copy,SRR7754744_Krohnitta_subtilis,Transpi,60.7,"15,954,007",100,C
Single-Copy,SRR10527303_Octolasmis_warwickii,Transpi,64.4,"15,813,391",150,D
Single-Copy,SRR3350463_Dimya_lima,Transpi,50.4,"5,426,850",150,D
Single-Copy,SRR3404576_Brachionus_plicatilis,Transpi,84.9,"7,403,847",150,D
Single-Copy,SRR4113507_Calanus_finmarchicus,Transpi,62.1,"10,633,606",150,D
Single-Copy,SRR4294206_Millepora_alcicornis,Transpi,83.6,"24,645,545",150,D
Single-Copy,SRR504694_Corticium_candelabrum,Transpi,75.3,"18,897,095",150,D
Single-Copy,SRR5140141_Eoleptestheria_cf_ticinensis,Transpi,74.2,"5,471,351",150,D
Single-Copy,SRR5626553_Nautilus_pompilius,Transpi,59.5,"16,461,197",150,D
Single-Copy,SRR5873556_Neocalanus_Flemingeri,Transpi,80.2,"4,112,626",150,D
Single-Copy,SRR8393254_Apostichopus_japonicus,Transpi,67.4,"8,289,770",150,D
Single-Copy,SRR8491966_Porites_pukoensis,Transpi,38.2,"16,448,725",150,D
Duplicated,ERR3026433_Pinnigorgia_flava,Transpi,11.6,"30,545,400",50,A
Duplicated,ERR3026434_Sinularia_cruciata,Transpi,9.7,"22,160,908",50,A
Duplicated,ERR3026435_Tubipora_musica,Transpi,9.7,"23,006,724",50,A
Duplicated,ERR3040053_Heliopora_coerulea,Transpi,8.6,"29,000,821",50,A
Duplicated,SRR8280777_Godzilliognomus_frondosus,Transpi,9.8,"14,086,834",75,B
Duplicated,SRR8745910_Galeodes_sp,Transpi,7.4,"6,356,774",75,B
Duplicated,SRR8745911_Peripatoides_novaezealandiae_onychophora,Transpi,4.6,"5,768,550",75,B
Duplicated,ERR1000783_Paracentrotus_lividus,Transpi,7.6,"6,803,316",75,B
Duplicated,SRR10744002_Paracentrotus_lividus,Transpi,12.7,"13,583,857",75,B
Duplicated,SRR1232685_Nephtys_caeca,Transpi,0.6,"1,576,665",75,B
Duplicated,SRR1271607_Gnathostomula_paradoxa,Transpi,20.2,"5,954,962",75,B
Duplicated,SRR1271706_Macrodasys_sp,Transpi,10.3,"3,204,609",75,B
Duplicated,SRR1273732_Lepidodermella_squamata,Transpi,7,"4,370,938",75,B
Duplicated,SRR1273789_Cephalothrix_linearis,Transpi,2.4,"4,869,244",75,B
Duplicated,SRR5569439_Acropora_palmata,Transpi,9,"10,476,071",75,B
Duplicated,SRR8601367_Acropora_pulchra,Transpi,12.4,"14,037,157",75,B
Duplicated,SRR1041944_Ephydatia_muelleri,Transpi,21.9,"11,425,188",100,C
Duplicated,SRR1042012_Oscarella_pearsei,Transpi,19.7,"11,306,242",100,C
Duplicated,SRR1168575_Spongilla_lacustris,Transpi,20.9,"5,136,881",100,C
Duplicated,SRR1711043_Mycale_phylophylla_adult,Transpi,5,"11,408,543",100,C
Duplicated,SRR1793376_Haliclona_tubifera,Transpi,23.7,"16,356,602",100,C
Duplicated,SRR504690_Sycon_coactum,Transpi,18,"9,098,097",100,C
Duplicated,SRR1145776_Peripatopsis_capensis,Transpi,2.8,"11,638,180",100,C
Duplicated,SRR1505119_Monodonta_labio,Transpi,5.5,"10,388,770",100,C
Duplicated,SRR1560310_Lyonsia_floridana,Transpi,6.5,"9,919,645",100,C
Duplicated,SRR1560359_Mercenaria_campechiensis,Transpi,3.6,"11,935,267",100,C
Duplicated,SRR1560432_Neotrigonia_margaritacea,Transpi,2.7,"11,215,767",100,C
Duplicated,SRR1560458_Cardites_antiquatus,Transpi,2.4,"11,916,756",100,C
Duplicated,SRR1561723_Sphaerium_nucleus,Transpi,8.9,"18,539,173",100,C
Duplicated,SRR1611556_Hemithiris_psittacea,Transpi,10.3,"9,221,875",100,C
Duplicated,SRR1611560_Malacobdella_grossa,Transpi,11,"8,307,739",100,C
Duplicated,SRR1611565_Phoronis_psammophila,Transpi,16.3,"12,949,999",100,C
Duplicated,SRR1796434_Catenula_lemnae,Transpi,4.6,"3,028,636",100,C
Duplicated,SRR3097584_Florometra,Transpi,10.5,"32,710,859",100,C
Duplicated,SRR3105702_Childia_submaculatum,Transpi,3.9,"6,089,955",100,C
Duplicated,SRR331123_Ennucula_tenuis,Transpi,9.9,"14,420,942",100,C
Duplicated,SRR7655554_Ircinia_fasciculata,Transpi,14.6,"13,420,109",100,C
Duplicated,SRR7754744_Krohnitta_subtilis,Transpi,29.3,"15,954,007",100,C
Duplicated,SRR10527303_Octolasmis_warwickii,Transpi,29,"15,813,391",150,D
Duplicated,SRR3350463_Dimya_lima,Transpi,1.7,"5,426,850",150,D
Duplicated,SRR3404576_Brachionus_plicatilis,Transpi,9.4,"7,403,847",150,D
Duplicated,SRR4113507_Calanus_finmarchicus,Transpi,15.1,"10,633,606",150,D
Duplicated,SRR4294206_Millepora_alcicornis,Transpi,13.3,"24,645,545",150,D
Duplicated,SRR504694_Corticium_candelabrum,Transpi,16.2,"18,897,095",150,D
Duplicated,SRR5140141_Eoleptestheria_cf_ticinensis,Transpi,8.9,"5,471,351",150,D
Duplicated,SRR5626553_Nautilus_pompilius,Transpi,4.2,"16,461,197",150,D
Duplicated,SRR5873556_Neocalanus_Flemingeri,Transpi,8.9,"4,112,626",150,D
Duplicated,SRR8393254_Apostichopus_japonicus,Transpi,24.6,"8,289,770",150,D
Duplicated,SRR8491966_Porites_pukoensis,Transpi,61.2,"16,448,725",150,D
Fragmented,ERR3026433_Pinnigorgia_flava,Transpi,1.7,"30,545,400",50,A
Fragmented,ERR3026434_Sinularia_cruciata,Transpi,5.3,"22,160,908",50,A
Fragmented,ERR3026435_Tubipora_musica,Transpi,2.2,"23,006,724",50,A
Fragmented,ERR3040053_Heliopora_coerulea,Transpi,3.8,"29,000,821",50,A
Fragmented,SRR8280777_Godzilliognomus_frondosus,Transpi,5.4,"14,086,834",75,B
Fragmented,SRR8745910_Galeodes_sp,Transpi,11.3,"6,356,774",75,B
Fragmented,SRR8745911_Peripatoides_novaezealandiae_onychophora,Transpi,6.4,"5,768,550",75,B
Fragmented,ERR1000783_Paracentrotus_lividus,Transpi,9.8,"6,803,316",75,B
Fragmented,SRR10744002_Paracentrotus_lividus,Transpi,3.2,"13,583,857",75,B
Fragmented,SRR1232685_Nephtys_caeca,Transpi,17.3,"1,576,665",75,B
Fragmented,SRR1271607_Gnathostomula_paradoxa,Transpi,22,"5,954,962",75,B
Fragmented,SRR1271706_Macrodasys_sp,Transpi,12.2,"3,204,609",75,B
Fragmented,SRR1273732_Lepidodermella_squamata,Transpi,20.7,"4,370,938",75,B
Fragmented,SRR1273789_Cephalothrix_linearis,Transpi,10.8,"4,869,244",75,B
Fragmented,SRR5569439_Acropora_palmata,Transpi,17.9,"10,476,071",75,B
Fragmented,SRR8601367_Acropora_pulchra,Transpi,5.5,"14,037,157",75,B
Fragmented,SRR1041944_Ephydatia_muelleri,Transpi,2.7,"11,425,188",100,C
Fragmented,SRR1042012_Oscarella_pearsei,Transpi,2.1,"11,306,242",100,C
Fragmented,SRR1168575_Spongilla_lacustris,Transpi,9,"5,136,881",100,C
Fragmented,SRR1711043_Mycale_phylophylla_adult,Transpi,11,"11,408,543",100,C
Fragmented,SRR1793376_Haliclona_tubifera,Transpi,1.4,"16,356,602",100,C
Fragmented,SRR504690_Sycon_coactum,Transpi,7,"9,098,097",100,C
Fragmented,SRR1145776_Peripatopsis_capensis,Transpi,22.2,"11,638,180",100,C
Fragmented,SRR1505119_Monodonta_labio,Transpi,8.9,"10,388,770",100,C
Fragmented,SRR1560310_Lyonsia_floridana,Transpi,14.5,"9,919,645",100,C
Fragmented,SRR1560359_Mercenaria_campechiensis,Transpi,18,"11,935,267",100,C
Fragmented,SRR1560432_Neotrigonia_margaritacea,Transpi,19.8,"11,215,767",100,C
Fragmented,SRR1560458_Cardites_antiquatus,Transpi,23.1,"11,916,756",100,C
Fragmented,SRR1561723_Sphaerium_nucleus,Transpi,32.1,"18,539,173",100,C
Fragmented,SRR1611556_Hemithiris_psittacea,Transpi,3.1,"9,221,875",100,C
Fragmented,SRR1611560_Malacobdella_grossa,Transpi,2.4,"8,307,739",100,C
Fragmented,SRR1611565_Phoronis_psammophila,Transpi,4.5,"12,949,999",100,C
Fragmented,SRR1796434_Catenula_lemnae,Transpi,16.3,"3,028,636",100,C
Fragmented,SRR3097584_Florometra,Transpi,0.6,"32,710,859",100,C
Fragmented,SRR3105702_Childia_submaculatum,Transpi,3.4,"6,089,955",100,C
Fragmented,SRR331123_Ennucula_tenuis,Transpi,3.2,"14,420,942",100,C
Fragmented,SRR7655554_Ircinia_fasciculata,Transpi,15,"13,420,109",100,C
Fragmented,SRR7754744_Krohnitta_subtilis,Transpi,6.2,"15,954,007",100,C
Fragmented,SRR10527303_Octolasmis_warwickii,Transpi,2.7,"15,813,391",150,D
Fragmented,SRR3350463_Dimya_lima,Transpi,22.5,"5,426,850",150,D
Fragmented,SRR3404576_Brachionus_plicatilis,Transpi,0.8,"7,403,847",150,D
Fragmented,SRR4113507_Calanus_finmarchicus,Transpi,13.3,"10,633,606",150,D
Fragmented,SRR4294206_Millepora_alcicornis,Transpi,1,"24,645,545",150,D
Fragmented,SRR504694_Corticium_candelabrum,Transpi,4.6,"18,897,095",150,D
Fragmented,SRR5140141_Eoleptestheria_cf_ticinensis,Transpi,11.1,"5,471,351",150,D
Fragmented,SRR5626553_Nautilus_pompilius,Transpi,25.3,"16,461,197",150,D
Fragmented,SRR5873556_Neocalanus_Flemingeri,Transpi,6,"4,112,626",150,D
Fragmented,SRR8393254_Apostichopus_japonicus,Transpi,6,"8,289,770",150,D
Fragmented,SRR8491966_Porites_pukoensis,Transpi,0.5,"16,448,725",150,D
Missing,ERR3026433_Pinnigorgia_flava,Transpi,2,"30,545,400",50,A
Missing,ERR3026434_Sinularia_cruciata,Transpi,3.1,"22,160,908",50,A
Missing,ERR3026435_Tubipora_musica,Transpi,2.5,"23,006,724",50,A
Missing,ERR3040053_Heliopora_coerulea,Transpi,1.6,"29,000,821",50,A
Missing,SRR8280777_Godzilliognomus_frondosus,Transpi,7.1,"14,086,834",75,B
Missing,SRR8745910_Galeodes_sp,Transpi,4.4,"6,356,774",75,B
Missing,SRR8745911_Peripatoides_novaezealandiae_onychophora,Transpi,8.7,"5,768,550",75,B
Missing,ERR1000783_Paracentrotus_lividus,Transpi,8.5,"6,803,316",75,B
Missing,SRR10744002_Paracentrotus_lividus,Transpi,2.5,"13,583,857",75,B
Missing,SRR1232685_Nephtys_caeca,Transpi,53.1,"1,576,665",75,B
Missing,SRR1271607_Gnathostomula_paradoxa,Transpi,22,"5,954,962",75,B
Missing,SRR1271706_Macrodasys_sp,Transpi,13.1,"3,204,609",75,B
Missing,SRR1273732_Lepidodermella_squamata,Transpi,24.9,"4,370,938",75,B
Missing,SRR1273789_Cephalothrix_linearis,Transpi,6.6,"4,869,244",75,B
Missing,SRR5569439_Acropora_palmata,Transpi,12.5,"10,476,071",75,B
Missing,SRR8601367_Acropora_pulchra,Transpi,2.1,"14,037,157",75,B
Missing,SRR1041944_Ephydatia_muelleri,Transpi,5.3,"11,425,188",100,C
Missing,SRR1042012_Oscarella_pearsei,Transpi,5.3,"11,306,242",100,C
Missing,SRR1168575_Spongilla_lacustris,Transpi,6,"5,136,881",100,C
Missing,SRR1711043_Mycale_phylophylla_adult,Transpi,11.1,"11,408,543",100,C
Missing,SRR1793376_Haliclona_tubifera,Transpi,5.1,"16,356,602",100,C
Missing,SRR504690_Sycon_coactum,Transpi,9.2,"9,098,097",100,C
Missing,SRR1145776_Peripatopsis_capensis,Transpi,15.4,"11,638,180",100,C
Missing,SRR1505119_Monodonta_labio,Transpi,5.4,"10,388,770",100,C
Missing,SRR1560310_Lyonsia_floridana,Transpi,5.9,"9,919,645",100,C
Missing,SRR1560359_Mercenaria_campechiensis,Transpi,59.1,"11,935,267",100,C
Missing,SRR1560432_Neotrigonia_margaritacea,Transpi,18.1,"11,215,767",100,C
Missing,SRR1560458_Cardites_antiquatus,Transpi,27.9,"11,916,756",100,C
Missing,SRR1561723_Sphaerium_nucleus,Transpi,31.9,"18,539,173",100,C
Missing,SRR1611556_Hemithiris_psittacea,Transpi,4.1,"9,221,875",100,C
Missing,SRR1611560_Malacobdella_grossa,Transpi,3.6,"8,307,739",100,C
Missing,SRR1611565_Phoronis_psammophila,Transpi,1.4,"12,949,999",100,C
Missing,SRR1796434_Catenula_lemnae,Transpi,30.2,"3,028,636",100,C
Missing,SRR3097584_Florometra,Transpi,1.6,"32,710,859",100,C
Missing,SRR3105702_Childia_submaculatum,Transpi,14.8,"6,089,955",100,C
Missing,SRR331123_Ennucula_tenuis,Transpi,1.6,"14,420,942",100,C
Missing,SRR7655554_Ircinia_fasciculata,Transpi,10.1,"13,420,109",100,C
Missing,SRR7754744_Krohnitta_subtilis,Transpi,3.8,"15,954,007",100,C
Missing,SRR10527303_Octolasmis_warwickii,Transpi,3.9,"15,813,391",150,D
Missing,SRR3350463_Dimya_lima,Transpi,25.4,"5,426,850",150,D
Missing,SRR3404576_Brachionus_plicatilis,Transpi,4.9,"7,403,847",150,D
Missing,SRR4113507_Calanus_finmarchicus,Transpi,9.5,"10,633,606",150,D
Missing,SRR4294206_Millepora_alcicornis,Transpi,2.1,"24,645,545",150,D
Missing,SRR504694_Corticium_candelabrum,Transpi,3.9,"18,897,095",150,D
Missing,SRR5140141_Eoleptestheria_cf_ticinensis,Transpi,5.8,"5,471,351",150,D
Missing,SRR5626553_Nautilus_pompilius,Transpi,11,"16,461,197",150,D
Missing,SRR5873556_Neocalanus_Flemingeri,Transpi,4.9,"4,112,626",150,D
Missing,SRR8393254_Apostichopus_japonicus,Transpi,2,"8,289,770",150,D
Missing,SRR8491966_Porites_pukoensis,Transpi,0.1,"16,448,725",150,D
Complete,ERR3026433_Pinnigorgia_flava,Trinity,93.6,"30,545,400",50,A
Complete,ERR3026434_Sinularia_cruciata,Trinity,84.9,"22,160,908",50,A
Complete,ERR3026435_Tubipora_musica,Trinity,91.6,"23,006,724",50,A
Complete,ERR3040053_Heliopora_coerulea,Trinity,89.5,"29,000,821",50,A
Complete,SRR8280777_Godzilliognomus_frondosus,Trinity,82.2,"14,086,834",75,B
Complete,SRR8745910_Galeodes_sp,Trinity,82.8,"6,356,774",75,B
Complete,SRR8745911_Peripatoides_novaezealandiae_onychophora,Trinity,83.3,"5,768,550",75,B
Complete,ERR1000783_Paracentrotus_lividus,Trinity,73.9,"6,803,316",75,B
Complete,SRR10744002_Paracentrotus_lividus,Trinity,93.4,"13,583,857",75,B
Complete,SRR1232685_Nephtys_caeca,Trinity,26.6,"1,576,665",75,B
Complete,SRR1271607_Gnathostomula_paradoxa,Trinity,54.1,"5,954,962",75,B
Complete,SRR1271706_Macrodasys_sp,Trinity,72.6,"3,204,609",75,B
Complete,SRR1273732_Lepidodermella_squamata,Trinity,52.1,"4,370,938",75,B
Complete,SRR1273789_Cephalothrix_linearis,Trinity,79.7,"4,869,244",75,B
Complete,SRR5569439_Acropora_palmata,Trinity,66.1,"10,476,071",75,B
Complete,SRR8601367_Acropora_pulchra,Trinity,89.8,"14,037,157",75,B
Complete,SRR1041944_Ephydatia_muelleri,Trinity,94.4,"11,425,188",100,C
Complete,SRR1042012_Oscarella_pearsei,Trinity,92.6,"11,306,242",100,C
Complete,SRR1168575_Spongilla_lacustris,Trinity,85,"5,136,881",100,C
Complete,SRR1711043_Mycale_phylophylla_adult,Trinity,77.4,"11,408,543",100,C
Complete,SRR1793376_Haliclona_tubifera,Trinity,94.2,"16,356,602",100,C
Complete,SRR504690_Sycon_coactum,Trinity,82.6,"9,098,097",100,C
Complete,SRR1145776_Peripatopsis_capensis,Trinity,61.6,"11,638,180",100,C
Complete,SRR1505119_Monodonta_labio,Trinity,84.2,"10,388,770",100,C
Complete,SRR1560310_Lyonsia_floridana,Trinity,76.7,"9,919,645",100,C
Complete,SRR1560359_Mercenaria_campechiensis,Trinity,20.3,"11,935,267",100,C
Complete,SRR1560432_Neotrigonia_margaritacea,Trinity,57.7,"11,215,767",100,C
Complete,SRR1560458_Cardites_antiquatus,Trinity,42.7,"11,916,756",100,C
